,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
44,سفر کیش,"
 
                                                                                            
تحریریه علی‌بابا (فرانک پرکمی) ",None,None,شرکت سفرهای علی بابا,None,۱۳۹۹/۱۲/۱۰, فارسی," 88.55 
                        "," ۱۰۲۲ 
                            ",None,"
                                    کیش از آن مقصدها نیست که بخواهید بدون برنامه‌ریزی به آن سفر کنید. اینکه چه فصلی برای سفر خوب است، کدام هتل‌ها بیشتر با روحیات شما سازگار است، کدام روز سفر را باید به دیدن کدام جاذبه‌ها اختصاص دهید و مهم‌تر از همه، از کجا سوغاتی بخرید و بهترین غذاها را از کدام رستوران نوش جان کنید، سوالات مهمی هستند که نباید بی‌جواب بمانند.
اگر بخواهید از همه لحظات سفر به کیش استفاده کنید به یک راهنمای کاربلد احتیاج دارید. کتاب سفر کیش، همان راهنمای سخاوتمندی است که از قبل از سفر به کیش با شما در تمام مراحل برنامه‌ریزی همراه می‌شود، در طول سفر نکات جامع و کاملی در مورد سفر به کیش را در اختیار شما قرار می‌دهد ودر اصل کاری می‌کند که کیش را مثل کف دستتان بشناسید! کتابی که بی‌توقع است و هیچ جایی از چمدان شما را اشغال نمی‌کند و فقط آمده که در تجربه بهترین‌های سفر همراه شما باشد.
فهرست کتاب:

به کیش خوش آمدید!
کیش از دیروز تا امروز
آب‌ و هوای کیش
بهترین زمان سفر
راه‌های سفر به کیش
برآورد هزینه سفر
معرفی هتل‌ها
بیمه سفر
سفر با کودکان
سفر معلولین و افراد کم‌توان
چک‌لیست سفر
تفریحات رایگان
اپلیکیشن‌های کاربردی
موزه‌ها و آثار تاریخی
محله‌های توریستی کیش
پارک‌ها و فضاهای عمومی
مراکز خرید
بازارهای سنتی و محلی
هایپرمارکت‌ها
کافه‌ها
رستوران‌ها
طباخی‌ها
مراکز تفریحی
تفریحات دریایی
سایت‌های غواصی کیش
پلاژ‌های کیش 
کشتی‌های تفریحی
اسپا، ماساژ و حمام ترکی
جنگ‌های شبانه
سالن‌های اجرای زنده
سینماها
کتاب‌فروشی‌ها
گالری‌ها و مراکز هنری
مینی‌بوس
تاکسی
دوچرخه
اجاره خودرو
قوانین رانندگی 
مراکز درمانی
داروخانه‌ها
مراکز دامپزشکی‌
قوانین مهم و ضروری
شماره تماس‌های ضروری                                                                    ",گردشگری,https://newcdn.fidibo.com/images/books/110780_26457_normal.jpg
45,قانون جذب رفاه و سلامتی مبانی آموزشهای آبراهام,"استر هیکز  ،                                                                                             
جری هيكز",ارغوان جولانی,"۹,۰۰۰ ", جویا," ۲۲,۵۰۰ ",۱۳۹۲/۰۲/۱۵, فارسی," 1.05 
                        "," ۲۱۹ 
                            ",978-964-2895-17-5,بنابراین سؤال این نیست، «کدام‌یک ارجحیت دارد، دادن یا گرفتن؟» سؤال این است «کدام‌یک ارجحیت دارد، تمرکز بر آنچه خواسته شده یا بر آنچه ناخواسته است؟»، کدام برتر است، «بالا بردن روحیه‌ی دیگری با اعتقاد داشتن به موفقیت او؟» یا «با یادآوری این که در کدام موقعیت هستند احساس ناامیدی آن‌ها را بیشتر کنیم؟»، کدام‌یک برتر است، «در اتصال بودن باوجود درونی و بعد دست به عمل زدن یا در اتصال نبودن و عمل کردن؟»، کدام‌یک برتر است «بر موفقیت کسی افزودن یا افزودن بر شکست او؟»,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/4993_86202_normal.jpg
46,میکروبوک ویروس ۲۰۲۰,"
 
                                                                                            
گروه نویسندگان ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۸/۱۰/۱۶, فارسی," 0.44 
                        ","  
                            ",None,"
                                    ویروس کرونا را می‌توان ویروس 2020 نامید. این روزها تمام اخبار جهان تحت تاثیر این ویروس قرار گرفته و نگرانی‌های زیادی برای مردم ایجاد شده است.
اما نکته مهم و قابل توجه این است که علیرغم تمام نگرانی‌ها این ویروس نیز مانند ویروس‌های مشابه‌اش در سال‌های گذشته قابل کنترل و پیشگیری است.
همه چیزهایی که درباره کرونا باید بدانید را در این میکروبوک مطالعه کنید. میکروبو‌ک‌ ها خلاصه‌ ای کوتاه از کتاب‌ ها هستند که می توان آن ها را در مدت زمان کمی خواند و عادت به مطالعه روزانه را از طریق آن ها در خود شکل داد. برای تولید میکروبوک های فیدیبو همواره تلاش شده که کتاب ها از میان پرفروش ترین های بازار و در موضوعات مختلف انتخاب شوند تا بتوانند توجه مخاطبین بسیاری را به خود جلب کنند. هم چنین با دقت فراوان گزیده ای از محتوای اصلی کتاب گلچین شده، به گونه ای که به شالوده اصلی آن لطمه وارد نشود و هدف غایی نویسنده به خواننده به طور کامل منتقل گردد.گاهی از میکروبوک ها با عنوان کتابچه یا کتاب کوتاه یاد می‌شود. با دانلود میکرو بوک می توانید به صورت اجمالی در کمتر از ۲۰ دقیقه برترین کتاب های جهان را مطالعه کرده و لذت ببرید. سایت و اپلیکیشن فیدیبو با صدها نسخه صوتی و الکترونیکی از میکرو بوک ها، تجربه ای متفاوت از کتابخوانی را در اختیار شما قرار می‌دهد.                                                                    ",سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/96462_99738_normal.jpg
47,بانوی بی بدن,الیور سکس,سما قرایی,"۲۶,۰۰۰ ", قطره," ۵۲,۰۰۰ ",۱۳۹۰/۰۹/۱۵, فارسی," 2.71 
                        "," ۳۶۶ 
                            ",978-600-119-007-0,فکر کردم، بهتر است به عقب و پایه و اساسی قابل اتکاتر بازگردم؛ هرگونه ارتباط دادن آزادانه‌ای را متوقف کنم. من نیرویی بالقوه را دیده بودم، اما خطر را نیز دیده و شنیده بودم. بازگشت به مادر طبیعت، طبیعتی امن، بهشتی و ماقبل هبوطی. چشمم افتاد به کارت تبریک کریسمسی که روی میز بود؛ سینه سرخی روی تنه‌ی یک درخت، همه‌جا پر از برف و شاخه‌های خشک و بی‌برگ. به پرنده اشاره کردم و خودکار را به هوزی دادم. پرنده را به خوبی کشید و برای سینه‌اش نیز از خودکار قرمز استفاده کرد. پاهای پرنده تا حدی پنجه‌ای و چنگ‌زده به پوسته‌ی درخت بودند (هم این‌جا و هم بعد از این نیاز او برای تاکید بر نیروی چنگ زدن دست‌ها و پاها برای اطمینان حاصل کردن از برقراری تماس شگفت‌زده شدم، نیازی که ذهن او را به خود مشغول کرده و دچار وسواسش ساخته بود). ,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/1435_21783_normal.jpg
48,تو آن گمگشته‌ام هستی,باربارا دی آنجلس,ليلا آزادی,"۲۰,۰۰۰ ", معیار اندیشه," ۵۸,۰۰۰ ",۱۳۸۹/۱۰/۱۵, فارسی," 2.72 
                        "," ۴۰۰ 
                            ",978-600-5462-14-2,"
                                    کنار نامزدتان نشسته‌اید. همان‌طور که در خطوط چهره‌اش خیره می‌شوید با خود فکر می‌کنید آینده این رابطه به کجا خواهد انجامید. می‌دانید که او می‌خواهد با شما ازدواج کند. دوستش دارید و حتی تصورش را هم نمی‌کنید که بدون او زندگی کنید اما فکر ازدواج با او شما را تا سر حد مرگ به وحشت می‌اندازد اگر متعهد شوید و بعد دریابید که شخص دیگری هست که با او تفاهم بیشتری دارید چه؟
از کجا بدانید؟
 از کجا معلوم که او واقعا همان فرد مناسب، (گمگشته) برای شماست؟                                                                    ",خانواده,https://newcdn.fidibo.com/images/books/71246_89002_normal.jpg
49,مراقبت قبل و بعد از بارداری,زیتا وست,فاطمه صهبا,"۱۱,۰۰۰ ", پیدایش," ۱۸,۰۰۰ ",۱۳۹۰/۱۰/۱۵, فارسی," 8.14 
                        "," ۱۴۴ 
                            ",978-964-349-935-8,"
                                    
(نسخه PDF)
پس شما تا چه حد می‌توانید بهترین شروع ممکن را برای کودکتان تضمین کنید؟ من به ساده کردن کار و کاربردی کردن آن اعتقاد دارم. از هیچ مادری انتظار ندارم که تمام زندگی‌اش را صرف نه ماه حاملگی‌اش بکند، و شما نیز نباید فکر کنید که مجبور به این‌کار هستید. با این‌حال من این کتاب را نوشتم، چون باور دارم برایتان مهم است که روند رشد کودک خود را بدانید و با اقدامات هر روزۀ خود از طریق رژیم غذایی سالم و کم کردن استرس و روحیۀ سالم به آن کمک کنید.
همچنین باور دارم که زوج‌ها برای والد شدن به آمادگی نیاز دارند. اگر ایده‌آل فکر کنیم شما باید قبل از باردار شدن از سلامت کامل برخوردار باشید؛ و به همین‌خاطر برنامۀ پیش از زایمان من، به‌جای آنکه به زمان بارداری بپردازد، از زمانی شروع می‌شود که تازه دارید به بچه‌دار شدن فکر می‌کنید.
هر بارداری‌ای متفاوت است و هر زنی با شرایط منحصر به فرد خود باردار می‌شود. اما اگر شما از اطلاعات این کتاب برای درک نیازهای خود بهره بگیرید هر کاری که از دست‌تان بر‌می‌آید انجام می‌دهید تا بتوانید بهترین شروع ممکن را برای فرزندتان فراهم کنید.                                                                    ",سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/6704_81792_normal.jpg
50,زندگی بی‌حد و مرز,نیک وی‌آچیچ,مسیحا برزگر,"۲۵,۰۰۰ ",ذهن‌آویز," ۳۸,۰۰۰ ",۱۳۹۱/۰۴/۱۵, فارسی," 2.03 
                        "," ۳۲۸ 
                            ",978-600-118-094-1, ,سبک زندگی,https://newcdn.fidibo.com/images/books/65527_87918_normal.jpg
51,تغذیه (نسخه PDF),کارول آن رینزرز,مهرک ایروانلو,"۸,۰۰۰ ", آوند دانش," ۱۵,۰۰۰ ",۱۳۹۴/۰۷/۱۵, فارسی," 1.02 
                        "," ۱۰۸ 
                            ",978-600-7022-55-9,بسیاری از فراد سالم فاقد اختلالات متابولیک (مشل بیماری دیابت) که مانع جذب کربوهیدرات‌ها می‌شود به‌خوبی قابلیت هضم و جذب حتی مقادیر بسیار زیاد کربوهیدرات را دارند. هورمون انسولین، متناسب با نیاز بدن ترشح می‌شود و سپس به‌سرعت به حالت طبیعی خود باز  خود می‌گردد. به عبارت دیگر با اینکه رژیم‌های لاغری متعارف، شاخص قندی را اساس کاهش وزن قرار داده‌اند، اما در حقیقت برای بسیاری از افراد و صرفه نظر از شدت سرعت جذب قند در خون، کربوهیدرات همچنان کربوهیدرت است.,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/63333_91519_normal.jpg
52,ایکیگای,هکتور گارسیا,فرانسیس میرالس,"۳۶,۰۰۰ ", ثالث," ۷۲,۰۰۰ ",۱۳۹۹/۱۲/۱۳, فارسی," 1.52 
                        "," ۱۳۲ 
                            ",978-600-405-321-1,در ژاپن جزیره‌ای به‌نام «اوکیناوا» وجود دارد که از هر صد هزار نفر ساکنین این منطقه، دو هزار و چهارصد و پنجاه و پنج نفر از آن‌ها، بیش از صد سال عمر می‌کنند! این آمار، آمار قابل توجهی‌ است، آن‌ هم در عصری که میانگین طول عمر مدام در حال کاهش است. همین آمار جالب دو نویسنده ژاپنی به‌نام‌های «هکتور گارسیا» و «فرانچسک میرالس» یا «فرانسس میرالس» را به فکر نوشتن کتاب ایکیگای انداخت. آن‌ها دست به قلم شدند تا برای مردم جهان، درباره رمز عمر طولانی و زندگی شاد بنویسند و پرده از مفهوم ایکیگای که در ژاپنی به معنای «شادی همواره در مشغول بودن است» بردارند. شما در این کتاب قرار است ایکیگای مخصوص خودتان را کشف کنید و زندگی شادتری داشته باشید.,سبک زندگی,https://newcdn.fidibo.com/images/books/111236_39332_normal.jpg
53,پرسش و پاسخ در مشاوره‌ی قبل از ازدواج,"
 
                                                                                            
شیوا مجیدی  ،                                                                                             
غلامرضا عسگری ",None,"۱۲,۰۰۰ ",آریاگهر," ۳۵,۰۰۰ ",۱۳۹۵/۰۲/۱۵, فارسی," 0.5 
                        "," ۱۰۴ 
                            ",978-600-94104-6-0,ازدواج یکی از مهم‌ترین تصمیم‌های زندگی است که هم می‌تواند سبب رشد و بالندگی افراد شود و هم می‌تواند افسردگی و سرخوردگی به دنبال خود داشته باشد. دختران و پسران در این روزگار، متفاوت از نسل‌های پیشین شریک زندگی‌شان را پیدا و محک می‌زنند و از شیوه‌های گوناگون برای شناخت هر چه بیشتر بهره می‌برند تا بتوانند به بهترین انتخاب دست یابند. کتاب «پرسش و پاسخ در مشاوره‌ی قبل از ازدواج» یکی از کتاب‌های مفید در حوزه‌ی ازدواج است که ابعاد متفاوت افراد در امر ازدواج را بررسی می‌کند و به شما کمک می‌کند تا انتخاب درست‌تری داشته باشید.,سبک زندگی,https://newcdn.fidibo.com/images/books/64120_71743_normal.jpg
54,خودت را دوست بدار,اوا ماريا زورهورست,سیمین موحد,"۵۰,۰۰۰ ", کتابسرای تندیس," ۱۸,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 1.77 
                        "," ۳۳۶ 
                            ",978-600-182-093-9, گاهی تصور ما از یک رابطه داشتن همراهی بی‌نظیر و بی‌نقص است تا ما را در همه‌ی جوانب راضی و خوشحال کند؛ اما آیا خود فردی بی‌نظیر و بی‌نقص هستیم؟ در واقع بسیاری از افراد بدون هیچ اهمیتی به خودشان تنها دنبال بهانه‌های دیگری در رابطه‌ی شکست‌خورده‌شان هستند. همین موضوع باعث می‌شود تا رابطه افراد در نهایت به مرز فروپاشی رود؛ اما آنچه باعث شفای یک رابطه و پر شدن شکاف‌های آن می‌شود دوست داشتن خودمان است. اوا ماريا زورهرست در کتاب خودت را دوست بدار توضیح می‌دهد که چطور با دوست داشتن خودمان رابطه‌مان را از نابودی نجات دهیم.,خانواده,https://newcdn.fidibo.com/images/books/3139_50219_normal.jpg
55,جهان گشت,"
 
                                                                                            
حسین عبدالهی ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۵/۰۷/۱۵, فارسی," 1.61 
                        ","  
                            ",None,"
                                     سفر کردن یکی از جداب‌ترین کارهایی که آدمها در طول عمرشون انجام می‌دن، اصلا بدون سفر کردن زندگی بی‌معنی به نظر می‌رسه.
اما یکی از دلایلی که ممکنه ما رو از سفر کردن منصرف کنه، هزینه‌های بالای مسافرته.
قیمت بلیط وسایل نقلیه، هتلها و رستورانها، اقامت و ... گاهی اینقدر سرسام آوره که سفر به یک جای خاص رو برامون تبدیل به رویا می‌کنه!
اما آدمهایی هم هستن که این رویاها را برای خودشون واقعی کردن، اونا با کمترین هزینه‌ها و امکانات سفرهای طولانی می‌رن و خیلی از نقاط دنیا رو از نزدیک می‌بینند. سفر ارزان و جذابی که به امتحان کردنش می‌ارزه!
حسین عبدللهی یکی از اون آدمهایی که جسارت ِ سفر کردن ارزان رو داره و به خیلی از نقاط دنیا با کمترین هزینه سفر کرده، در این کتابچه از خاطرات و یادداشتهای شخصی‌اش رو درباره این سفرها می‌خونیم.                                                                    ",کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/62669_76777_normal.jpg
56,شگفت‌انگيز مغز,ماتيو مک‌دانلد,هديه تقوی,"۱۵,۰۰۰ ", البرز," ۱۰,۰۰۰ ",۱۳۹۰/۱۰/۱۵, فارسی," 4.89 
                        "," ۳۹۲ 
                            ",978-964-442-782-4,در «دنیای شگفت‌انگیز مغز» به دالان‌ها و هزارتوهای اسرارآمیز مغز سفر می‌کنیم. «ماتیو مک‌دانلد» توانسته حرف‌های پیچیده و عجیب و غریب دانشمندان و عصب‌شناسان را به یک شکل یک ماجرای جالب و شنیدنی تعریف کند. مخاطب این کتاب نه متخصصان هستند و نه دانشمندان. این کتاب برای تمام انسان‌های کنجکاوی نوشته شده که به عملکردهای مغز علاقه‌مند هستند. هدف از این کتاب این است که به افراد کمک کند تا با شناخت عملکرد مغز زندگی بهتری داشته باشند.,علمی,https://newcdn.fidibo.com/images/books/6384_65503_normal.jpg
57,قوانین ازدواج,"الن فاین  ،                                                                                             
شری اشنایدر",مژگان جهانگیر,"۱۳,۰۰۰ ", قطره,None,۱۳۹۵/۰۱/۱۵, فارسی," 0.86 
                        "," ۱۷۶ 
                            ",978-964-341-620-1,"
                                    کتاب «قوانین ازدواج: رموز زندگی زناشویی موفق»‌ نوشته دو روانشناس و مشاوره خانواده آمریکایی یعنی الین فاین و شری اشنایدر است.
آنها در این کتاب بر پایه تجربیات طولانی مدت و مشاهدات علمی خود،‌ روش‌هایی برای داشتن روابط زناشویی موفق ارائه می‌دهند.
در بخشی از این کتاب می‌خوانیم:
«آیا هرگز فکر کرده‌اید که چرا بعضی از خانم‌ها زندگی زناشویی موفقی دارند؟ چرا برخی از زندگی زناشویی رضایت دارند و برخی مدام با همسرشان درگیرند؟ حقیقت این است که حفظ رابطه‌ی زناشویی کار آسانی نیست و نیازمند تلاشی مبتنی بر هنر و همت شماست.
آیا تابه‌حال هیچ‌یک از مشکلات زیر را تجربه کرده‌اید؟
«من دلم می‌خواد الان بچه‌دار بشم ولی همسرم می‌گه چند سال دیگه صبر کنیم.»
«خودشو دوست دارم ولی خانواده‌شو نه!»
«از این‌که درآمدم بیشتر از همسرمه ناراحتم. فکر می‌کنم خودشم ناراحته.»
کتاب حاضر، شما را در زمینه‌ی حل مشکلاتی که چند نمونه از آن‌ها ذکر گردید، یاری خواهد کرد. احتمالاً بسیاری از خانم‌ها می‌توانند شوهر مناسبی پیدا کنند، اما فقط درصدی از آن‌ها قادرند رابطه‌ی موفق خود را در درازمدت حفظ نمایند. در این کتاب می‌آموزیم که چگونه همسرمان را درک و خوشحال نماییم، از وی حمایت کرده و به او بال و پر پرواز بدهیم تا بتواند به موفقیت دست یابد».                                                                    ",خانواده,https://newcdn.fidibo.com/images/books/7285_58849_normal.jpg
58,۱۰۰۱  پرسش پیش از ازدواج,مونیکا مندزلیهی,فرناز فرود,"۱۵,۶۰۰ ", صابرین," ۳۹,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 1.32 
                        "," ۲۵۸ 
                            ",978-964-6181-79-3,روابط عاطفی انسانی بسیار پیچیده هستند و ازدواج نیز باتوجه به اینکه جنبه‌های مختلف زندگی هر فرد را تحت تأثیر قرار می‌دهد برای تصمیم‌گیری و انتخاب نیاز به بررسی بیشتر و همچنین توجه کافی به جوانب آن را دارد. هرکسی در حد توان خود تلاش می‌کند تا موارد مختلفی را برای ازدواج و همچنین ادامه‌ی زندگی درنظر بگیرد و سنجیده انتخاب خود را انجام بدهد. اما تا چه اندازه یک فرد می‌تواند این جوانب را بشناسند؟ مونیکا مندزلیهی که خود متخصص ارتباطات زوجین است در کتاب ۱۰۰۱ پرسش پیش از ازدواج تلاش کرده است تا در این زمینه به شما کمک کند.,خانواده,https://newcdn.fidibo.com/images/books/69437_60678_normal.jpg
59,منتظر معجزه باش,جو ویتال,احسان شفیعی زرگر,"۱۴,۰۰۰ ", قطره,None,۱۳۸۹/۱۰/۱۵, فارسی," 1.44 
                        "," ۱۸۰ 
                            ",978-600-119-000-1,همه آدم‌ها به دنبال سلامتی، ثروت و روابط خوب هستند ولی تنها تعداد کمی از افراد به ‌آن‌ها دست پیدا می‌کنند. عقاید محدودکننده در ذهن همه‌ی وجود دارد ولی باید با استفاده از نکات و راه‌کارهای علمی و کاربردی بر آن‌ها غلبه کنیم و از تاثیرشان جلوگیری کنیم. جو ویتال نویسنده و سخنران انگیزشی در  کتاب منتظر معجزه باش، رازی گم شده برای رسیدن به یک موفقیت مبهوت‌کننده با بیان تجربه‌های خود ما را به سمت اهداف و آرزوهایمان سوق می‌دهد. شما با خواندن کتاب منتظر معجزه باش مهارت لازم را برای کنار گذاشتن باورهای محدودکننده به دست می‌آورید.,سبک زندگی,https://newcdn.fidibo.com/images/books/1498_75910_normal.jpg
